━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  🔄 스윙 트레이딩 스크리닝 보고서  (981종목)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
     진입        점수        가격     시장     등급        손절        익절     RR        수량       종합         점수  종목
   🟡 보류         30      17,760   약세강세    C        16,143      20,993    2.0         112     🟡 보류        47.2  미래에셋 TIGER AI반도체핵심공정증권상장지수투자신탁(주식) (471760.KS)
   🟡 보류         30      14,060   약세강세    C        12,544      17,091    2.0         131     🟡 보류        47.2  세원정공 (021820.KS)
   🟡 보류         30       8,890   약세추세    C         8,265      10,140    2.0         224     🟡 보류        46.1  차AI헬스케어 (025620.KS)
   🟡 보류         30      19,190   약세추세    F        18,385      20,801    2.0         104     🟡 보류        43.6  제일기획 (030000.KS)
   🟡 보류         30      35,120     횡보      F        33,865      37,630    2.0          56     🟡 보류        43.6  한국투자 ACE 중국본토 CSI300 증권 자상장지수투자신탁(주식-파생형) (168580.KS)
   🟡 보류         30      54,200   약세강세    F        49,211      64,178    2.0          36     🟡 보류        43.2  에스엘 (005850.KS)
   🟡 보류         30      36,100   약세강세    F        33,385      41,530    2.0          55     🟡 보류        43.2  대신증권 (003540.KS)
   🟡 보류         30     151,200   약세강세    F       139,898     173,805    2.0          13     🟡 보류        43.2  한국금융지주우 (071055.KS)
   🟡 보류         30      43,850   약세강세    F        39,049      53,451    2.0          41     🟡 보류        43.2  케이씨텍 (281820.KS)
   🟡 보류         30      40,200   약세추세    F        38,269      44,062    2.0          49     🟡 보류        42.5  하나투어 (039130.KS)
   🟡 보류         30      14,550   약세추세    F        14,341      14,967    2.0         137     🟡 보류        42.5  대동전자 (008110.KS)
   🟡 보류         30       7,130   약세추세    F         6,560       8,270    2.0         280     🟡 보류        42.1  SJG세종 (033530.KS)
   🟡 보류         30      16,310   고변동성    C        15,241      18,448    2.0         122     🟡 보류        41.6  솔루엠 (248070.KS)
   🟡 보류         30      10,250   약세추세    F         9,568      11,615    2.0         195     🟡 보류        41.0  신풍제약 (019170.KS)
   🟡 보류         30      15,620     횡보      F        15,247      16,366    2.0         128     🟡 보류        39.6  삼성 KODEX 차이나CSI300증권상장지수투자신탁[주식-파생형] (283580.KS)
   🟡 보류         30      11,375     횡보      F        10,869      12,386    2.0         175     🟡 보류        39.6  미래에셋 TIGER 차이나과창판STAR50증권상장지수투자신탁(주식-파생형)(합성) (414780.KS)
   🟡 보류         30      64,900     횡보      F        61,103      72,495    2.0          30     🟡 보류        39.1  삼양홀딩스 (000070.KS)
   🟡 보류         30      18,125   고변동성    F        16,699      20,978    2.0         110     🟡 보류        38.1  미래에셋 TIGER 코스닥150 증권상장지수투자신탁(주식) (232080.KS)
   🟡 보류         30      17,595   고변동성    F        16,215      20,356    2.0         113     🟡 보류        38.1  KB RISE 코스닥150증권상장지수투자신탁(주식) (270810.KS)
   🟡 보류         30      17,890   고변동성    F        16,499      20,672    2.0         111     🟡 보류        38.1  한국투자 ACE 코스닥150증권상장지수투자신탁(주식) (354500.KS)
   🟡 보류         30       7,720     횡보      F         7,465       8,230    2.0         259     🟡 보류        38.0  미래에셋 TIGER 차이나항셍테크증권상장지수투자신탁(주식) (371160.KS)
   🟡 보류         30       7,720     횡보      F         7,443       8,274    2.0         259     🟡 보류        38.0  삼성 KODEX 차이나항셍테크증권상장지수투자신탁[주식] (372330.KS)
   🟡 보류         30      10,470   고변동성    F         9,709      11,991    2.0         191     🟡 보류        36.5  아세아시멘트 (183190.KS)
   🟡 보류         30      13,390   고변동성    F        12,466      15,239    2.0         149     🟡 보류        36.5  제일약품 (271980.KS)
   🟡 보류         30      27,050     횡보      F        25,908      29,334    2.0          73     🟡 보류        35.1  샘표식품 (248170.KS)
   🟡 보류         30       1,706     횡보      F         1,630       1,858    2.0       1,172     🟡 보류        34.0  영진약품 (003520.KS)
   🟡 보류         30      11,010   고변동성    F        10,269      12,492    2.0         181     🟡 보류        33.6  제이에스코퍼레이션 (194370.KS)
   🟡 보류         30      46,400   고변동성    F        43,171      52,858    2.0          43     🟡 보류        32.5  카카오 (035720.KS)
   🟡 보류         20       4,570   약세강세    B         4,443       4,825    2.0         437     🟡 보류        50.4  코람코라이프인프라리츠 (357120.KS)
   🟡 보류         20      58,045   약세강세    B        57,455      59,225    2.0          34     🟡 보류        50.4  KB RISE 국채선물10년인버스증권상장지수투자신탁(채권-파생형) (295020.KS)
   🟡 보류         20      53,260   약세강세    C        52,958      53,865    2.0          37     🟡 보류        49.8  미래에셋 TIGER 27-04회사채(A+이상)액티브증권상장지수투자신탁(채권) (480260.KS)
   🟡 보류         20      28,990   약세강세    B        26,531      33,908    2.0          68     🟡 보류        48.9  우리 WON 반도체밸류체인액티브증권상장지수투자신탁(주식) (474590.KS)
   🟡 보류         20       9,340   약세추세    B         8,476      11,068    2.0         214     🟡 보류        46.6  한국철강 (104700.KS)
   🟡 보류         20      12,110   약세강세    C        11,890      12,550    2.0         165     🟡 보류        46.4  신한 SOL미국배당다우존스증권상장지수투자신탁[주식](H) (452360.KS)
   🟡 보류         20      60,365   약세강세    C        55,713      69,670    2.0          33     🟡 보류        44.9  한화 PLUS 글로벌HBM반도체증권상장지수투자신탁(주식) (442580.KS)
   🟡 보류         20      21,110   약세강세    C        19,308      24,714    2.0          94     🟡 보류        44.9  KB RISE 비메모리반도체액티브증권상장지수투자신탁(주식) (388420.KS)
   🟡 보류         20      29,755   약세강세    C        27,276      34,713    2.0          67     🟡 보류        43.8  KB RISE AI반도체TOP10증권상장지수투자신탁(주식) (0093A0.KS)
   🟡 보류         20      99,720   약세강세    F        91,440     116,281    2.0          20     🟡 보류        40.9  미래에셋 TIGER 반도체 증권상장지수투자신탁(주식) (091230.KS)
   🟡 보류         20      44,000   약세강세    F        40,136      51,727    2.0          45     🟡 보류        40.9  한국투자 ACE AI반도체TOP3+증권상장지수투자신탁(주식) (469150.KS)
   🟡 보류         20      75,500   고변동성    C        67,851      90,799    2.0          26     🟡 보류        39.2  HD현대마린엔진 (071970.KS)
   🟡 보류         20       9,180   약세추세    F         8,590      10,359    2.0         217     🟡 보류        38.6  스틱인베스트먼트 (026890.KS)
   🟡 보류         20      48,210     횡보      F        46,636      51,358    2.0          41     🟡 보류        35.6  삼성 KODEX 미국빅테크10증권상장지수투자신탁[주식-파생형](H) (314250.KS)
   🟡 보류         20       9,865     횡보      F         9,796      10,003    2.0         202     🟡 보류        35.0  삼성 KODEX 미국10년국채액티브증권상장지수투자신탁[채권-재간접형](H) (0091C0.KS)
   🟡 보류         20       1,511   고변동성    F         1,395       1,743    2.0       1,323     🟡 보류        34.1  일신석재 (007110.KS)
   🟡 보류         15      70,200   강세추세    A        59,109      92,383    2.0          18     🟡 보류        59.6  코리아써키트 (007810.KS)
   🟡 보류         15       1,863   강세추세    A         1,478       2,633    2.0         519     🟡 보류        59.6  SK증권 (001510.KS)
   🟡 보류         15       9,390   강세추세    A+        8,712      10,745    2.0         212     🟡 보류        59.6  동국제강 (460860.KS)
   🟡 보류         15       6,990   강세추세    A         5,663       9,645    2.0         150     🟡 보류        59.6  경보제약 (214390.KS)
   🟡 보류         15      12,190   약세강세    A         9,827      16,916    2.0          84     🟡 보류        58.5  애경케미칼 (161000.KS)
   🟡 보류         15      20,450   약세강세    A        16,823      27,704    2.0          55     🟡 보류        58.5  티엠씨 (217590.KS)
   🟡 보류         15      49,100   강세추세    A        44,791      57,718    2.0          40     🟡 보류        56.8  미래에셋TIGERK방산&우주증권상장지수투자신탁(주식) (463250.KS)
   🟡 보류         15       8,220   강세추세    A         7,311      10,039    2.0         219     🟡 보류        56.8  남해화학 (025860.KS)
   🟡 보류         15      14,090   약세강세    A+       13,606      15,059    2.0         141     🟡 보류        56.6  조선내화 (462520.KS)
   🟡 보류         15      20,750   강세추세    A        17,758      26,733    2.0          66     🟡 보류        56.1  비에이치 (090460.KS)
   🟡 보류         15     258,000   강세추세    A       236,147     301,705    2.0           7     🟡 보류        55.6  SK가스 (018670.KS)
   🟡 보류         15      34,450   강세추세    A        30,308      42,735    2.0          48     🟡 보류        55.6  DN오토모티브 (007340.KS)
   🟡 보류         15       2,710   강세추세    A         2,447       3,236    2.0         738     🟡 보류        55.6  무림P&P (009580.KS)
   🟡 보류         15      14,800   강세추세    A        12,959      18,482    2.0         108     🟡 보류        55.6  한신공영 (004960.KS)
   🟡 보류         15      11,420   강세추세    A        10,508      13,244    2.0         175     🟡 보류        54.8  KSS해운 (044450.KS)
   🟡 보류         15       5,020   약세강세    B         4,286       6,488    2.0         272     🟡 보류        54.5  대원전선 (006340.KS)
   🟡 보류         15       7,990   약세강세    A         7,026       9,919    2.0         207     🟡 보류        54.5  동부건설 (005960.KS)
   🟡 보류         15         803   약세강세    A           742         925    2.0       2,490     🟡 보류        54.5  한국제지 (027970.KS)
   🟡 보류         15       4,480   약세강세    A         4,310       4,820    2.0         446     🟡 보류        53.8  ESR켄달스퀘어리츠 (365550.KS)
   🟡 보류         15      15,880   약세강세    A        15,055      17,530    2.0         125     🟡 보류        52.6  LG유플러스 (032640.KS)
   🟡 보류         15      95,800   약세강세    A        90,456     106,487    2.0          20     🟡 보류        52.6  E1 (017940.KS)
